	1 	2 	4 	8 	16 	32 	
bt 	49.640000	55.980000	69.180000	84.500000	119.890000	135.390000	
cg 	48.840000	55.030000	73.260000	93.590000	100.670000	131.860000	
dc 	49.950000	56.130000	64.340000	78.830000	108.680000	120.960000	
ep 	49.070000	54.170000	62.850000	82.610000	119.450000	134.630000	
ft 	50.090000	57.000000	73.530000	81.470000	137.590000	164.120000	
is 	46.440000	52.140000	60.030000	70.650000	73.150000	60.470000	
lu 	49.890000	56.320000	67.690000	87.180000	127.940000	148.380000	
mg 	50.170000	57.080000	73.990000	96.180000	103.960000	118.640000	
sp 	49.850000	57.650000	71.250000	76.330000	121.110000	135.060000	
ua 	50.400000	55.670000	65.520000	83.710000	117.390000	127.340000	
stress 	48.620000	56.720000	68.390000	87.550000	134.860000	138.730000	
