	1 	2 	4 	8 	16 	32 	
bt 	18.810000	21.320000	22.610000	24.300000	27.170000	28.380000	
cg 	19.310000	22.950000	23.180000	31.500000	38.600000	39.480000	
dc 	19.830000	22.370000	24.470000	28.680000	34.680000	39.920000	
ep 	15.580000	16.530000	16.780000	16.890000	16.790000	21.340000	
ft 	19.530000	22.720000	24.190000	26.750000	31.610000	34.320000	
is 	18.970000	22.170000	23.570000	25.560000	26.490000	24.320000	
lu 	18.760000	22.160000	24.220000	27.410000	31.440000	34.240000	
mg 	21.010000	25.890000	30.830000	38.010000	38.590000	48.240000	
sp 	20.320000	24.320000	27.630000	28.370000	40.470000	45.550000	
ua 	19.670000	22.050000	23.570000	25.470000	29.430000	31.230000	
stress 	15.510000	16.550000	16.730000	17.000000	16.740000	17.170000	
